fsu:360557,July08-1790
fsu:360556,July09-1790
fsu:360558,July10-1790
fsu:360572,July11-1790
fsu:360571,July12-1790
fsu:360594,July13-1790
fsu:360612,July14-1790
fsu:360651,July15-1790
fsu:360622,July16-1790
fsu:360574,July17-1790
fsu:360619,July18-1790
fsu:360603,July19-1790
fsu:360713,July20-1790
fsu:360728,July21-1790
fsu:360655,July22-1790
fsu:360697,July23-1790
fsu:360685,July23-1790
fsu:360731,July24-1790
fsu:360657,July25-1790
fsu:360682,July26-1790
fsu:360671,July27-1790
fsu:360672,July28-1790
fsu:360695,July29-1790
fsu:360716,July30-1790
fsu:360666,July31-1790
fsu:360709,August01-1790
fsu:360701,August01-1790
fsu:360719,August02-1790
fsu:360686,August03-1790
fsu:360740,August04-1790
fsu:360771,August05-1790
fsu:360806,August06-1790
fsu:360733,August06-1790
fsu:360843,August07-1790
fsu:360831,August08-1790
fsu:360754,August09-1790
fsu:360783,August10-1790
fsu:360853,August11-1790
fsu:360791,August12-1790
fsu:360747,August12-1790
fsu:360844,August13-1790
fsu:360820,August14-1790
fsu:360836,August15-1790
fsu:360769,August16-1790
fsu:360745,August17-1790
fsu:360785,August18-1790
fsu:360798,August19-1790
fsu:360816,August20-1790
fsu:360755,August21-1790
fsu:360813,August22-1790
fsu:360776,August23-1790
fsu:360858,August24-1790
fsu:360800,August25-1790
fsu:360829,August26-1790
fsu:360859,August27-1790
fsu:360760,August28-1790
fsu:360914,August29-1790
fsu:360912,August30-1790
fsu:360884,August31-1790
fsu:360874,August31-1790
fsu:360882,September01-1790
fsu:360897,September02-1790
fsu:360867,September03-1790
fsu:360889,September04-1790
fsu:360904,September05-1790
fsu:360899,September06-1790
fsu:360873,September07-1790
fsu:361026,September08-1790
fsu:360952,September09-1790
fsu:361012,September10-1790
fsu:360943,September10-1790
fsu:360926,September11-1790
fsu:360930,September12-1790
fsu:360942,September13-1790
fsu:361010,September14-1790
fsu:361013,September15-1790
fsu:360968,September16-1790
fsu:360988,September17-1790
fsu:360957,September17-1790
fsu:360996,September18-1790
fsu:360927,September19-1790
fsu:360941,September20-1790
fsu:360997,September21-1790
fsu:360995,September22-1790
fsu:360974,September23-1790
fsu:360919,September23-1790
fsu:361025,September24-1790
fsu:360958,September24-1790
fsu:360980,September25-1790
fsu:360965,September26-1790
fsu:360981,September27-1790
fsu:361130,September28-1790
fsu:361099,September29-1790
fsu:361180,September30-1790
fsu:361158,October01-1790
fsu:361172,October02-1790
fsu:361121,October03-1790
fsu:361142,October04-1790
fsu:361105,October05-1790
fsu:361157,October06-1790
fsu:361173,October07-1790
fsu:361089,October08-1790
fsu:361114,October09-1790
fsu:361152,October10-1790
fsu:361167,October11-1790
fsu:361143,October12-1790
fsu:361129,October13-1790
fsu:361115,October14-1790
fsu:361101,October15-1790
fsu:361085,October16-1790
fsu:361041,October17-1790
fsu:361074,October18-1790
fsu:361086,October19-1790
fsu:361056,October20-1790
fsu:361040,October21-1790
fsu:361055,October22-1790
fsu:361070,October23-1790
fsu:361071,October24-1790
fsu:361027,October25-1790
fsu:361043,October26-1790
fsu:361059,October27-1790
fsu:361187,October28-1790
fsu:361217,October29-1790
fsu:361280,October30-1790
fsu:361278,October31-1790
fsu:361272,November01-1790
fsu:361247,November02-1790
fsu:361288,November03-1790
fsu:361234,November04-1790
fsu:361195,November05-1790
fsu:361250,November06-1790
fsu:361226,November07-1790
fsu:361265,November08-1790
fsu:361211,November09-1790
fsu:361264,November10-1790
fsu:361262,November11-1790
fsu:361232,November11-1790
fsu:361220,November12-1790
fsu:361189,November13-1790
fsu:361203,November14-1790
fsu:361249,November15-1790
fsu:361241,November15-1790
fsu:361202,November16-1790
fsu:361318,November17-1790
fsu:361293,November18-1790
fsu:361501,November19-1790
fsu:361442,November20-1790
fsu:361400,November21-1790
fsu:361375,November22-1790
fsu:361510,November23-1790
fsu:361428,November24-1790
fsu:361524,November25-1790
fsu:361414,November26-1790
fsu:361349,November27-1790
fsu:361458,November28-1790
fsu:361309,November29-1790
fsu:361507,November30-1790
fsu:361308,December01-1790
fsu:361521,December02-1790
fsu:361463,December03-1790
fsu:361376,December03-1790
fsu:361409,December04-1790
fsu:361361,December05-1790
fsu:361295,December06-1790
fsu:361345,December07-1790
fsu:361422,December08-1790
fsu:361360,December08-1790
fsu:361479,December09-1790
fsu:361453,December10-1790
fsu:361431,December11-1790
fsu:361438,December12-1790
fsu:361406,December13-1790
fsu:361330,December14-1790
fsu:361492,December15-1790
fsu:361447,December16-1790
fsu:361391,December17-1790
fsu:361476,December18-1790
fsu:361323,December18-1790
fsu:361329,December19-1790
fsu:361473,December20-1790
fsu:361303,December21-1790
fsu:361346,December22-1790
fsu:361487,December23-1790
fsu:361516,December24-1790
fsu:361363,December25-1790
fsu:361424,December26-1790
fsu:361493,December27-1790
fsu:361394,December28-1790
fsu:361385,December29-1790
fsu:361334,December30-1790
fsu:361467,December31-1790
fsu:361379,December31-1790
fsu:361597,January01-1791
fsu:361584,January02-1791
fsu:361582,January03-1791
fsu:361612,January04-1791
fsu:361567,January05-1791
fsu:361569,January06-1791
fsu:361568,January07-1791
fsu:361598,January08-1791
fsu:361583,January09-1791
fsu:361600,January10-1791
fsu:361676,January11-1791
fsu:361618,January12-1791
fsu:361663,January13-1791
fsu:361704,January14-1791
fsu:361686,January15-1791
fsu:361664,January16-1791
fsu:361718,January17-1791
fsu:361658,January18-1791
fsu:361681,January19-1791
fsu:361632,January20-1791
fsu:361691,January21-1791
fsu:361619,January22-1791
fsu:361707,January23-1791
fsu:361633,January23-1791
fsu:361649,January24-1791
fsu:361716,January25-1791
fsu:361648,January26-1791
fsu:361696,January27-1791
fsu:361634,January27-1791
fsu:361701,January28-1791
fsu:361617,January29-1791
fsu:361641,January30-1791
fsu:361782,January31-1791
fsu:361779,February01-1791
fsu:361745,February02-1791
fsu:361731,February03-1791
fsu:361737,February04-1791
fsu:361774,February05-1791
fsu:361760,February06-1791
fsu:361750,February07-1791
fsu:361764,February08-1791
fsu:361767,February09-1791
fsu:361734,February10-1791
fsu:361751,February11-1791
fsu:361722,February12-1791
fsu:362522,February13-1791
fsu:361822,February14-1791
fsu:361828,February15-1791
fsu:361843,February16-1791
fsu:361812,February17-1791
fsu:361794,February18-1791
fsu:361797,February19-1791
fsu:361860,February20-1791
fsu:361851,February20-1791
fsu:361853,February21-1791
fsu:361837,February22-1791
fsu:361867,February23-1791
fsu:361806,February23-1791
fsu:361791,February24-1791
fsu:361872,February25-1791
fsu:361836,February26-1791
fsu:361821,February27-1791
fsu:361809,February28-1791
fsu:361858,March01-1791
fsu:361876,March02-1791
fsu:361905,March03-1791
fsu:361943,March04-1791
fsu:361935,March05-1791
fsu:361921,March06-1791
fsu:361916,March06-1791
fsu:361964,March07-1791
fsu:361875,March08-1791
fsu:361957,March09-1791
fsu:361886,March10-1791
fsu:361949,March11-1791
fsu:361934,March12-1791
fsu:361974,March13-1791
fsu:361928,March14-1791
fsu:361901,March15-1791
fsu:361890,March16-1791
fsu:361972,March17-1791
fsu:361920,March18-1791
fsu:361906,March19-1791
fsu:361891,March20-1791
fsu:361958,March21-1791
fsu:362044,March22-1791
fsu:362035,March23-1791
fsu:362021,March23-1791
fsu:361984,March24-1791
fsu:361985,March25-1791
fsu:362076,March26-1791
fsu:362001,March27-1791
fsu:362045,March28-1791
fsu:362086,March29-1791
fsu:362074,March30-1791
fsu:362028,March31-1791
fsu:362056,April01-1791
fsu:361983,April02-1791
fsu:362058,April03-1791
fsu:362061,April04-1791
fsu:362042,April05-1791
fsu:362027,April06-1791
fsu:362071,April07-1791
fsu:361998,April08-1791
fsu:362006,April09-1791
